Order ID,Customer Zip Code,Product,Purchase Date,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Customer Name,Customer State,Customer City
0-392-81194-4,22434,Black Tea,3/1/2022,Coca-Cola,Tea,465,6829,4208,2621,Catherine Jones,Texas,South Andrewmouth
1-68663-234-7,57084,Wine,6/8/2021,Dr. Pepper,Alcoholic,192,9870,4795,5075,David Oconnor,New York,New Danielleland
1-4446-1615-3,96805,Green Tea,5/31/2021,Coca-Cola,Tea,849,4659,7269,-2610,Robert Lane,Oklahoma,West Jessica
1-4940-8694-8,67752,Wine,11/24/2022,Pepsi,Alcoholic,351,3724,2359,1365,Christopher Miller,Missouri,Sheilachester
0-07-408127-6,52708,Beer,6/9/2021,Dr. Pepper,Alcoholic,691,9336,3233,6103,Thomas Lee PhD,Maryland,Rothbury
0-422-98574-0,22356,Beer,5/5/2022,Dr. Pepper,Alcoholic,517,2235,2545,-310,Michael Shepherd,Maine,South Williamberg
0-13-102304-7,55365,Lemonade,3/24/2022,Coca-Cola,Soft Drink,658,5411,1161,4250,Samantha Gregory,Connecticut,West Paul
1-966180-26-8,68009,Herbal Tea,3/28/2021,Pepsi,Tea,234,6508,6474,34,Sophia Woods,Missouri,Michaelfurt
0-460-47270-4,5158,Green Tea,7/22/2021,Dr. Pepper,Tea,144,4060,2398,1662,Jennifer Vincent,Nevada,Youngtown
1-322-33309-2,54431,Beer,2/3/2021,Coca-Cola,Alcoholic,279,1132,563,569,Sandra Rush,Connecticut,West Jennifer
1-281-02885-1,2866,Green Tea,4/15/2022,Coca-Cola,Tea,434,9864,3455,6409,Samantha Robertson,Wyoming,South Marcusshire
1-69698-646-X,68104,Beer,2/19/2023,Pepsi,Alcoholic,871,2724,1045,1679,Jennifer Vaughn,Washington,Tranchester
1-05-361806-9,27519,Wine,12/20/2022,Dr. Pepper,Alcoholic,165,4290,3799,491,Cynthia Miller,Arizona,Emilyburgh
0-8092-3245-6,3438,Energy Drink,3/9/2021,Coca-Cola,Soft Drink,937,5957,2136,3821,Lauren Leon,Wyoming,Matthewview
1-4298-5021-3,34505,Energy Drink,10/21/2022,Pepsi,Soft Drink,124,3129,4919,-1790,Barbara Winters,Colorado,Matthewbury
0-458-31329-7,44122,Herbal Tea,7/2/2020,Dr. Pepper,Tea,231,1676,6034,-4358,Kimberly Lopez,New Mexico,Powellfort
0-243-91336-2,83573,Cola,2/13/2023,Pepsi,Soft Drink,146,5483,5354,129,Angela Molina,Colorado,Jensenstad
1-9799-6416-5,96756,Lemonade,10/22/2020,Pepsi,Soft Drink,147,3130,2749,381,Emily Arnold,Idaho,Port Katherineport
1-4592-1480-3,44965,Beer,7/29/2021,Dr. Pepper,Alcoholic,846,3104,1594,1510,Valerie Sweeney,Colorado,New Anthonymouth
1-70203-836-X,43435,Coffee,3/22/2021,Pepsi,Coffee,315,8884,2069,6815,Miss Kimberly Bell,Maine,New Troyberg
1-4023-8634-6,2813,Coffee,9/13/2022,Dr. Pepper,Coffee,566,2221,7529,-5308,Justin Jimenez,Wyoming,Coxville
0-289-65753-9,57574,Herbal Tea,1/4/2021,Coca-Cola,Tea,329,1619,4581,-2962,Jose Watson,Indiana,Taylorside
1-338-18183-1,1879,Green Tea,9/16/2020,Pepsi,Tea,367,6592,7478,-886,Kimberly Bauer,Arizona,Allenburgh
0-503-39889-6,89455,Coffee,9/23/2022,Dr. Pepper,Coffee,426,8283,5180,3103,Evan Torres,Pennsylvania,West Haleystad
0-13-309344-1,30032,Black Tea,1/25/2022,Pepsi,Tea,1000,2551,4498,-1947,Miss Shelley Hall,North Dakota,Port Carolyn
0-241-58177-X,35420,Beer,2/19/2023,Coca-Cola,Alcoholic,307,3271,7297,-4026,Robert Rhodes,Montana,Lake Michaelhaven
1-4652-5773-X,61846,Energy Drink,4/24/2020,Pepsi,Soft Drink,243,6729,2992,3737,Debra Mcbride,New Jersey,Montgomeryside
0-8015-4419-X,97622,Green Tea,12/25/2021,Pepsi,Tea,368,2497,2357,140,Melissa Carter,Arizona,New Darlene
0-409-79261-6,72042,Coffee,12/12/2021,Pepsi,Coffee,386,4250,2611,1639,William Thompson,Louisiana,Erinburgh
0-8326-2332-6,46629,Coffee,7/29/2020,Pepsi,Coffee,779,6777,3194,3583,Richard Simpson,Tennessee,New Marioburgh
0-9545331-2-7,49893,Cola,6/13/2022,Coca-Cola,Soft Drink,391,3109,7183,-4074,Dr. Wendy Foley,Maryland,East Jocelynhaven
1-4124-0125-9,70379,Green Tea,3/3/2021,Dr. Pepper,Tea,434,6022,881,5141,Mallory Curtis,California,West Anthony
0-633-99721-8,38969,Wine,9/9/2020,Coca-Cola,Alcoholic,945,2082,2786,-704,Willie Jones,Colorado,Nancyland
0-513-00959-0,37875,Wine,3/3/2020,Dr. Pepper,Alcoholic,513,3740,2642,1098,Jeffrey Odonnell,Louisiana,Ramirezburgh
0-8113-5464-4,87107,Lemonade,4/21/2023,Coca-Cola,Soft Drink,133,2066,4850,-2784,Lynn Jones,Connecticut,Noahmouth
0-7040-6207-0,15412,Lemonade,12/1/2021,Coca-Cola,Soft Drink,129,5840,2713,3127,Alexis Anderson,New York,South Robert
1-224-13191-6,23229,Beer,8/30/2022,Coca-Cola,Alcoholic,154,7924,4720,3204,Daniel Perez,Illinois,New Brittanyhaven
0-7650-5690-9,88285,Black Tea,8/17/2022,Dr. Pepper,Tea,984,6774,7826,-1052,Meghan Chavez,Nebraska,New Chrismouth
1-75651-593-X,2584,Cola,1/28/2021,Dr. Pepper,Soft Drink,493,6791,2222,4569,Jaime Lopez,Arizona,North Melissa
0-345-16320-6,72294,Herbal Tea,6/1/2020,Coca-Cola,Tea,769,7295,1079,6216,Benjamin Gomez,Rhode Island,Jensenmouth
0-632-54010-9,66280,Green Tea,1/15/2023,Coca-Cola,Tea,971,9822,3277,6545,Diana Rivera,Tennessee,Brownburgh
0-268-69991-7,38794,Vodka,8/2/2021,Dr. Pepper,Alcoholic,789,1813,4560,-2747,Lauren Mooney,Arizona,Lake Kristiebury
0-8225-0758-7,6108,Vodka,2/16/2021,Dr. Pepper,Alcoholic,784,6037,6886,-849,Michael Bennett,Georgia,Lake Rogermouth
1-75607-032-6,75932,Green Tea,2/7/2020,Pepsi,Tea,614,5497,7446,-1949,David Nelson,New Jersey,Margaretmouth
1-56451-337-8,4719,Wine,2/26/2022,Coca-Cola,Alcoholic,702,9307,7952,1355,James Ferguson,Arkansas,East Traviston
1-81899-705-3,57103,Black Tea,4/10/2021,Dr. Pepper,Tea,322,6088,1428,4660,Caroline Williams,Florida,Karenhaven
1-5038-5158-3,32558,Black Tea,3/21/2022,Coca-Cola,Tea,386,8954,4345,4609,Christopher Hardy,Rhode Island,South Peggy
1-367-47292-X,81649,Black Tea,9/4/2020,Dr. Pepper,Tea,129,7545,5125,2420,William Coffey,Kentucky,New Shawn
0-488-25714-X,98508,Black Tea,4/26/2021,Coca-Cola,Tea,438,4131,6023,-1892,Ronald Reed,Rhode Island,Lake Christopher
1-894802-36-5,10369,Beer,12/22/2020,Dr. Pepper,Alcoholic,979,5417,3853,1564,Erin Mathews,Texas,South Lori
1-07-701534-8,4055,Black Tea,5/23/2020,Pepsi,Tea,120,2007,1552,455,Jaime Knight,Maine,South Janetport
1-85278-672-8,86390,Green Tea,12/14/2021,Pepsi,Tea,299,2200,6299,-4099,Ann Carroll,Hawaii,Smithchester
0-338-34938-3,38183,Wine,10/20/2020,Dr. Pepper,Alcoholic,922,7431,5346,2085,Elizabeth Williams,California,New Erikaland
0-489-16995-3,4509,Coffee,10/28/2020,Dr. Pepper,Coffee,179,8551,2461,6090,Sheila Walters,Kansas,Danielfort
0-300-54469-3,97688,Vodka,12/31/2021,Dr. Pepper,Alcoholic,710,6769,7179,-410,Kristin Ray,Utah,Romeroborough
1-360-47620-2,83629,Coffee,3/15/2021,Coca-Cola,Coffee,842,9480,3203,6277,John Larson,Iowa,South Hannah
0-352-12120-3,30230,Energy Drink,10/25/2022,Pepsi,Soft Drink,310,7897,5676,2221,Elizabeth Swanson,Kentucky,Lake Veronicachester
1-80512-020-4,70683,Black Tea,6/30/2023,Coca-Cola,Tea,931,9699,1424,8275,Sheri Evans,Georgia,Jamietown
0-576-53586-9,59383,Coffee,4/14/2023,Pepsi,Coffee,346,4833,7053,-2220,Sheena Young,Texas,Alisontown
0-414-02183-5,33477,Coffee,3/28/2020,Dr. Pepper,Coffee,557,5692,4048,1644,Christy Herring,Illinois,Port Sharonmouth
1-358-79860-5,82006,Beer,2/26/2023,Dr. Pepper,Alcoholic,635,3434,866,2568,Timothy Howard,Iowa,Caldwellbury
0-87772-341-9,29655,Herbal Tea,5/13/2020,Coca-Cola,Tea,983,8032,3096,4936,Theresa Navarro,Idaho,New Nathanhaven
1-4614-4802-6,54785,Lemonade,9/12/2021,Pepsi,Soft Drink,110,1684,6840,-5156,Joshua Russell,Pennsylvania,Gabrielmouth
1-75801-942-5,46225,Green Tea,10/10/2022,Dr. Pepper,Tea,159,4639,4404,235,Caroline Ramirez,Louisiana,Russellstad
0-522-74876-7,98106,Coffee,1/22/2022,Dr. Pepper,Coffee,709,1217,4119,-2902,Catherine Mcknight,New Mexico,Kennethtown
0-266-35887-X,92954,Beer,7/26/2023,Dr. Pepper,Alcoholic,635,9605,6466,3139,Mary Harris,Minnesota,Port Matthew
0-906539-04-8,41384,Energy Drink,2/1/2020,Dr. Pepper,Soft Drink,467,2074,2387,-313,Kevin Perez,Wyoming,South Elizabeth
1-68198-221-8,31830,Cola,1/12/2023,Pepsi,Soft Drink,144,7832,1824,6008,Chelsea Mcdonald,Oregon,Wilsontown
1-55537-727-0,85933,Green Tea,5/23/2023,Pepsi,Tea,431,6626,7793,-1167,Brian Fernandez,Missouri,Amberhaven
0-644-01892-5,79954,Wine,1/19/2023,Coca-Cola,Alcoholic,210,2315,2465,-150,Richard Bryan,Wyoming,Santanamouth
0-290-23134-5,62998,Wine,1/26/2021,Dr. Pepper,Alcoholic,115,5751,1381,4370,Russell Olson,Connecticut,South Dakota
1-241-20051-3,94914,Green Tea,7/13/2021,Pepsi,Tea,581,2419,3880,-1461,Levi Jones,New Hampshire,Barberburgh
1-01-539518-X,65499,Green Tea,2/4/2022,Pepsi,Tea,949,1936,4353,-2417,Rebecca Johnson,Missouri,Fordfort
0-669-27687-1,99837,Coffee,2/22/2020,Coca-Cola,Coffee,141,2985,1008,1977,John Barron,Nebraska,Matthewville
0-345-44007-2,38655,Energy Drink,2/5/2022,Pepsi,Soft Drink,753,1570,6854,-5284,Shirley Harris,South Carolina,Lake Meghan
1-4947-0573-7,58215,Lemonade,9/27/2020,Coca-Cola,Soft Drink,351,7249,4564,2685,Julie Abbott,West Virginia,Lake Michaelton
1-187-75711-X,72848,Lemonade,5/17/2022,Pepsi,Soft Drink,835,1491,4183,-2692,William Jackson,Louisiana,West Stephaniefort
1-9796-5962-1,99178,Black Tea,2/21/2021,Dr. Pepper,Tea,992,9502,4972,4530,Derrick Juarez,California,South Kennethstad
1-04-963374-1,6123,Green Tea,8/14/2022,Dr. Pepper,Tea,620,6656,3189,3467,Joshua Davis,South Dakota,East Elizabeth
0-287-21848-1,5171,Vodka,12/23/2020,Dr. Pepper,Alcoholic,557,8066,2813,5253,Adam Pearson,Louisiana,West Henry
1-07-764240-7,7429,Herbal Tea,9/28/2022,Dr. Pepper,Tea,566,5231,5697,-466,Justin Skinner,Illinois,Katrinaton
0-639-13715-6,1796,Coffee,6/7/2023,Dr. Pepper,Coffee,804,6891,7284,-393,Robert Elliott,South Carolina,Jonesmouth
1-82308-117-7,66075,Vodka,2/2/2020,Pepsi,Alcoholic,851,7613,6839,774,Richard Donaldson,Arizona,Pricetown
0-8037-6739-0,87869,Green Tea,8/11/2021,Dr. Pepper,Tea,502,6365,7156,-791,David Bond,Massachusetts,Jonesberg
0-944901-55-7,70468,Cola,6/25/2020,Dr. Pepper,Soft Drink,996,9984,7620,2364,Brian White,Arkansas,West Terri
1-06-394958-0,32535,Black Tea,1/22/2020,Pepsi,Tea,496,2144,4347,-2203,Debra Thompson,Alaska,Robertmouth
1-86769-029-2,75840,Beer,4/3/2021,Coca-Cola,Alcoholic,994,8872,5988,2884,Joshua Brown,Florida,Markview
1-994128-76-3,73066,Wine,7/27/2023,Pepsi,Alcoholic,599,5241,4132,1109,Bethany Jones,Missouri,Brooksport
1-871365-96-1,5114,Wine,10/26/2022,Dr. Pepper,Alcoholic,598,2281,2588,-307,Michael Lee,Nebraska,West Mariabury
0-10-971620-5,19830,Vodka,5/1/2022,Coca-Cola,Alcoholic,281,7574,7548,26,Lindsey Benton,Nevada,Patrickhaven
1-5185-4963-2,16230,Black Tea,12/17/2021,Dr. Pepper,Tea,709,6204,6003,201,Julie Powell,Texas,Richardton
0-11-582033-7,64611,Green Tea,12/24/2020,Coca-Cola,Tea,557,7417,5036,2381,James Russell,New Mexico,Ramirezstad
1-290-84904-8,77472,Green Tea,11/28/2020,Dr. Pepper,Tea,501,4268,3897,371,Heidi Richardson,Maryland,New Larry
0-458-84667-8,82036,Wine,4/9/2023,Coca-Cola,Alcoholic,527,4549,7880,-3331,Steven Brown,Oregon,West Adrianmouth
1-184-14086-3,48464,Energy Drink,3/13/2020,Pepsi,Soft Drink,321,9934,7401,2533,Christy Page,Pennsylvania,Nashmouth
0-316-36992-6,54051,Herbal Tea,10/31/2020,Dr. Pepper,Tea,904,8285,1955,6330,Jordan Rodriguez,Oregon,Catherinechester
0-14-833604-3,4379,Energy Drink,10/1/2020,Dr. Pepper,Soft Drink,296,3259,5923,-2664,Ryan Cooke,Texas,Kathrynburgh
1-65747-674-X,23980,Beer,11/16/2022,Dr. Pepper,Alcoholic,954,3608,6682,-3074,Henry Haley,Hawaii,Brownbury
1-84840-130-2,80676,Wine,9/5/2020,Pepsi,Alcoholic,540,6840,995,5845,Andrea Munoz,Arizona,East Joshuaport
0-299-73694-6,48566,Wine,7/2/2021,Coca-Cola,Alcoholic,131,9527,5983,3544,Manuel Wilkinson,South Dakota,Debrafort
1-60525-244-1,88053,Beer,5/11/2022,Pepsi,Alcoholic,741,4533,5915,-1382,Nicole Lambert,Michigan,Smithberg
1-367-66669-4,50841,Wine,10/29/2020,Pepsi,Alcoholic,626,3550,2691,859,Sarah Thompson,Maine,Fischerburgh
1-70113-798-4,39553,Herbal Tea,7/12/2022,Dr. Pepper,Tea,321,7085,4818,2267,Jacob Ramirez,Idaho,Mathisburgh
0-466-34618-2,36683,Green Tea,2/27/2020,Pepsi,Tea,856,4471,1241,3230,Sarah Davis,New Mexico,Annaside
0-655-63347-2,38939,Green Tea,4/27/2021,Dr. Pepper,Tea,501,1973,1687,286,Bill Ryan,Connecticut,East Williamland
1-07-587646-X,26458,Beer,4/16/2021,Dr. Pepper,Alcoholic,915,6238,1619,4619,Alan Espinoza,Wyoming,North Dillonfurt
0-15-125927-5,31497,Vodka,8/5/2020,Coca-Cola,Alcoholic,734,7236,6861,375,Christine Duncan,South Dakota,Garciaville
1-4155-9985-8,32269,Black Tea,3/28/2023,Coca-Cola,Tea,186,6420,2452,3968,Alicia Williams,Texas,East Amyland
0-7512-6358-3,28273,Cola,6/14/2020,Pepsi,Soft Drink,716,2364,3492,-1128,Mr. Gregory Kim,Arizona,Davisfort
1-112-33150-6,97313,Cola,1/8/2022,Dr. Pepper,Soft Drink,546,2071,1576,495,Jeffrey Martinez,North Carolina,Lake Aaron
0-12-451261-5,26071,Energy Drink,1/11/2020,Dr. Pepper,Soft Drink,114,1433,2354,-921,Tyler Montgomery,Rhode Island,East Michael
0-88976-570-7,5107,Beer,10/11/2022,Coca-Cola,Alcoholic,373,2948,7273,-4325,Madison Mendez,Florida,Paulabury
1-318-70643-2,67264,Lemonade,5/28/2023,Coca-Cola,Soft Drink,188,5960,2500,3460,Erin Bentley,Oregon,Salazarville
0-7162-2661-8,20026,Herbal Tea,4/14/2020,Pepsi,Tea,269,2706,5442,-2736,Eric Townsend,South Dakota,New Tammy
1-226-73625-4,73095,Energy Drink,7/27/2020,Coca-Cola,Soft Drink,519,9973,844,9129,Brandon Anderson,New Hampshire,Harveyhaven
0-06-914139-8,4388,Beer,7/24/2021,Coca-Cola,Alcoholic,944,4394,7174,-2780,Jennifer Mason,North Dakota,Kelleyton
1-9801-6480-0,39721,Energy Drink,5/28/2021,Pepsi,Soft Drink,203,2564,6083,-3519,Jeff Perez,North Dakota,Leeview
0-264-99291-1,82803,Herbal Tea,7/3/2023,Dr. Pepper,Tea,158,3640,5631,-1991,Julie Martinez,Colorado,Lake Rebecca
0-7328-3472-4,68009,Vodka,3/27/2020,Coca-Cola,Alcoholic,171,8154,6636,1518,Teresa Mathews,Wisconsin,Port Ellenton
1-316-52007-2,32093,Black Tea,3/10/2023,Coca-Cola,Tea,435,1270,5793,-4523,Andrew Cochran,Louisiana,Meghanville
1-06-909589-3,67247,Beer,6/13/2021,Dr. Pepper,Alcoholic,316,6739,4069,2670,Wanda Johnson,Montana,Velezbury
1-149-53073-1,66625,Green Tea,11/20/2022,Pepsi,Tea,515,9991,6734,3257,Brenda Hart,Indiana,Gibsonberg
1-4311-1111-2,42256,Energy Drink,1/30/2023,Dr. Pepper,Soft Drink,643,7726,3798,3928,Molly Griffin,North Carolina,Coleburgh
0-564-13164-4,19073,Cola,4/26/2022,Pepsi,Soft Drink,441,1414,514,900,Jeffery Rojas,Georgia,Shawnbury
0-682-74659-2,70214,Black Tea,7/28/2020,Pepsi,Tea,232,8894,4678,4216,Amy Gonzalez,Virginia,Harveyton
0-275-69252-3,73187,Coffee,6/12/2020,Pepsi,Coffee,167,1766,7329,-5563,Dalton Bush,Washington,Jodimouth
1-353-30030-7,48318,Energy Drink,2/23/2021,Coca-Cola,Soft Drink,736,1314,4338,-3024,Madison Rosales,Illinois,New Cynthiatown
1-82235-781-0,87165,Wine,5/28/2023,Coca-Cola,Alcoholic,912,3488,3957,-469,Steven Jones,Arizona,Kaitlynton
0-05-045403-X,63671,Wine,3/17/2023,Coca-Cola,Alcoholic,181,9413,1997,7416,Joshua Stokes,Indiana,East Shauntown
1-08-016094-9,6113,Black Tea,4/10/2022,Coca-Cola,Tea,827,6779,1217,5562,Chad Reyes,New York,Port Donnatown
1-901287-31-9,97422,Vodka,9/20/2022,Coca-Cola,Alcoholic,553,7718,3421,4297,Joseph Adams,Illinois,Jonathanborough
1-5233-9478-1,72142,Wine,1/10/2022,Dr. Pepper,Alcoholic,545,1967,6554,-4587,Dawn Melton,Oregon,East Lynn
1-63769-184-X,40589,Herbal Tea,9/12/2021,Pepsi,Tea,135,1642,4619,-2977,James Adams,New Hampshire,Alexanderberg
0-684-41426-0,76315,Black Tea,1/11/2022,Pepsi,Tea,891,9282,6383,2899,Sarah Perez,Rhode Island,Michaelside
0-585-28452-0,8531,Vodka,5/10/2023,Dr. Pepper,Alcoholic,184,4326,3221,1105,Paul Pham,Louisiana,Ryanland
0-7812-5438-8,71660,Black Tea,3/8/2021,Coca-Cola,Tea,329,7934,3945,3989,Catherine Keller,Pennsylvania,Lake Adam
1-86939-947-1,79550,Coffee,2/23/2022,Coca-Cola,Coffee,529,8446,3180,5266,Judith Coleman,Texas,Alantown
1-80397-673-X,99761,Green Tea,2/17/2021,Dr. Pepper,Tea,723,8932,1084,7848,Matthew Preston,Alabama,Patriciaton
1-272-58535-2,19800,Black Tea,4/22/2021,Pepsi,Tea,349,6439,816,5623,Justin Yoder,Arkansas,Duranhaven
1-60880-577-8,57687,Herbal Tea,8/25/2021,Dr. Pepper,Tea,254,8574,4024,4550,Mrs. Wendy Gardner,Colorado,Perezhaven
0-360-57090-9,19914,Black Tea,5/16/2023,Coca-Cola,Tea,427,9753,5676,4077,Morgan Jenkins,Utah,West Alfredtown
0-85887-564-0,32519,Wine,6/11/2022,Pepsi,Alcoholic,683,1568,560,1008,Vincent Turner,Arkansas,North Kennethmouth
1-7350251-5-1,71608,Energy Drink,1/26/2021,Coca-Cola,Soft Drink,913,9507,1078,8429,Matthew Byrd,New Hampshire,Port Ashleyland
0-371-14069-2,29179,Energy Drink,7/30/2020,Coca-Cola,Soft Drink,866,7044,3415,3629,Jennifer Cunningham,Nevada,West Angela
1-67872-738-5,39399,Vodka,3/17/2022,Coca-Cola,Alcoholic,156,7270,7615,-345,Anna George,Rhode Island,Wardton
0-507-24994-1,80004,Vodka,1/11/2022,Coca-Cola,Alcoholic,391,5381,7758,-2377,Michael Washington,New York,Thomasside
1-63359-880-2,36629,Coffee,9/16/2020,Pepsi,Coffee,194,9293,6230,3063,Tammy Scott,Arizona,East Gabrielfurt
1-9870-3120-2,32667,Herbal Tea,6/16/2022,Coca-Cola,Tea,760,8378,6257,2121,Matthew Perry,Florida,Hunterburgh
0-389-04927-1,95807,Cola,3/7/2023,Pepsi,Soft Drink,782,8136,1098,7038,David Salazar,Louisiana,East Jillburgh
1-5013-2152-8,22779,Beer,5/28/2021,Dr. Pepper,Alcoholic,889,2546,6273,-3727,Michelle Wolf,Wyoming,South Chadborough
1-345-90838-5,91449,Coffee,8/22/2020,Pepsi,Coffee,172,7821,2591,5230,Margaret Trujillo,Tennessee,North Scottburgh
1-186-48147-1,5476,Coffee,2/4/2022,Dr. Pepper,Coffee,126,4420,614,3806,Zachary Morton,Nevada,New Billymouth
0-265-05143-6,42159,Coffee,1/30/2022,Dr. Pepper,Coffee,517,1685,1400,285,Dr. Eric Jimenez,Rhode Island,Johnsonshire
0-7020-2728-6,3330,Herbal Tea,11/28/2022,Pepsi,Tea,183,5849,1349,4500,Steve Stewart,Mississippi,Clarkfurt
0-8165-1136-5,70632,Coffee,7/31/2020,Pepsi,Coffee,833,2665,5465,-2800,Thomas Mckee,Georgia,West Susan
1-67440-760-2,10821,Wine,2/10/2022,Dr. Pepper,Alcoholic,939,7184,972,6212,Zachary Dickson Jr.,Texas,East Jamestown
0-585-90452-9,67254,Lemonade,2/13/2021,Coca-Cola,Soft Drink,347,9742,7466,2276,Nicole Miller MD,Colorado,South Jacob
1-177-88144-6,51049,Cola,9/9/2021,Coca-Cola,Soft Drink,928,8893,851,8042,Donna Thompson,New York,Hornfort
1-4298-2224-4,16589,Beer,1/4/2020,Dr. Pepper,Alcoholic,636,8510,1504,7006,Douglas Johnson,Iowa,Myersfort
0-18-233701-4,50027,Black Tea,4/16/2023,Pepsi,Tea,259,6997,5274,1723,Taylor Coleman,Minnesota,Lake David
1-396-66494-7,35374,Coffee,5/11/2020,Coca-Cola,Coffee,944,6308,6450,-142,Samuel Monroe,Minnesota,Port Amber
1-69661-506-2,86210,Cola,1/30/2023,Dr. Pepper,Soft Drink,630,5378,2045,3333,Tiffany Rodriguez,Hawaii,Melissamouth
1-223-58538-7,70731,Lemonade,3/27/2020,Coca-Cola,Soft Drink,179,4058,4842,-784,Anthony Simon,Connecticut,Port Anitashire
0-227-43443-9,97350,Black Tea,11/25/2020,Coca-Cola,Tea,941,6236,6203,33,Aaron Goodman,South Dakota,East Wyattstad
1-876576-47-2,65619,Black Tea,10/24/2021,Pepsi,Tea,118,1459,6660,-5201,Virginia Mccormick,South Dakota,Garybury
0-03-312031-5,8602,Beer,4/25/2020,Coca-Cola,Alcoholic,991,7185,5520,1665,Kristi Cox,Massachusetts,South Elizabethstad
1-235-08766-2,97429,Beer,9/3/2021,Dr. Pepper,Alcoholic,170,2075,5014,-2939,Victoria Martin,New Jersey,Sharonport
1-75548-710-X,66163,Beer,2/10/2022,Pepsi,Alcoholic,373,9736,6211,3525,Dustin Ward,Washington,Shepardton
1-291-34431-4,19779,Energy Drink,7/2/2023,Pepsi,Soft Drink,628,4911,7418,-2507,Debbie Zimmerman,Florida,Joshuahaven
0-7784-3406-0,61614,Vodka,6/12/2023,Coca-Cola,Alcoholic,824,1086,5119,-4033,Felicia Jones,Connecticut,Smithstad
0-425-38534-5,23454,Green Tea,1/4/2021,Coca-Cola,Tea,382,3128,4648,-1520,Jason Cisneros,New Hampshire,Nicholasstad
0-339-81776-3,6083,Lemonade,10/20/2021,Pepsi,Soft Drink,296,3551,2607,944,Clinton Castillo,North Dakota,Phillipstown
0-248-41144-6,7148,Cola,7/12/2023,Pepsi,Soft Drink,561,4787,3546,1241,Theresa Hernandez,Colorado,Sparksmouth
0-8046-2195-0,68046,Vodka,8/23/2021,Dr. Pepper,Alcoholic,727,3006,1018,1988,William Jackson,Mississippi,Buchananchester
0-272-30044-6,28003,Wine,9/27/2022,Coca-Cola,Alcoholic,415,6506,4388,2118,Lee Glenn,New York,East Robinborough
1-08-988339-0,48779,Coffee,1/6/2022,Dr. Pepper,Coffee,743,7845,5987,1858,Bradley Jackson,Michigan,Stevensberg
1-317-47592-5,12656,Vodka,12/23/2021,Coca-Cola,Alcoholic,404,3700,2326,1374,James Whitaker,Connecticut,South Garychester
0-85862-943-7,37536,Energy Drink,5/18/2022,Coca-Cola,Soft Drink,896,5211,2833,2378,Michael Green,South Carolina,Mooreton
0-421-45589-6,45725,Wine,8/4/2021,Coca-Cola,Alcoholic,941,4770,2618,2152,Valerie Barry,Mississippi,Brendaburgh
1-217-79123-X,1250,Herbal Tea,10/5/2020,Coca-Cola,Tea,152,4934,3527,1407,Adam Anderson,Mississippi,Lake Kurtshire
